project-name,pom-jacoco,pom-cobertura,pom-javadoc,travis,gha,file-name,yml-codecov,yml-coveralls,yml-sonar,yml-jacoco,yml-cobertura,yml-javadoc,mvn-mvnw,candidate
TooTallNate/Java-WebSocket,No,No,Yes,No,Yes,sonar.yml,No,No,Yes,Yes,No,No,Yes,No
apache/dolphinscheduler,Yes,Yes,Yes,No,Yes,ci_backend.yml,No,No,No,No,No,No,Yes,Maybe
apache/dolphinscheduler,Yes,Yes,Yes,No,Yes,ci_e2e.yml,No,No,No,No,No,No,Yes,Maybe
apache/dolphinscheduler,Yes,Yes,Yes,No,Yes,ci_frontend.yml,No,No,No,No,No,No,No,No
apache/dolphinscheduler,Yes,Yes,Yes,No,Yes,ci_ut.yml,Yes,No,Yes,Yes,No,No,Yes,No
apache/dolphinscheduler,Yes,Yes,Yes,No,Yes,issue_robot.yml,No,No,No,No,No,No,No,No
justauth/JustAuth,Yes,Yes,Yes,Yes,Yes,.travis.yml,Yes,No,No,No,Yes,No,Yes,No
justauth/JustAuth,Yes,Yes,Yes,Yes,Yes,deploy-snapshot.yml,No,No,No,No,No,No,Yes,Maybe
apache/nifi,No,No,Yes,No,Yes,ci-workflow.yml,No,No,No,No,No,No,Yes,Maybe
apache/nifi,No,No,Yes,No,Yes,stale.yml,No,No,No,No,No,No,No,No
apache/maven,No,No,Yes,No,Yes,maven.yml,No,No,No,No,No,No,Yes,Maybe
tuguangquan/mybatis,No,Yes,No,Yes,No,.travis.yml,No,No,No,No,No,No,Yes,Maybe
jhy/jsoup,No,No,Yes,No,Yes,build.yml,No,No,No,No,No,No,Yes,Maybe
jhy/jsoup,No,No,Yes,No,Yes,codeql.yml,No,No,No,No,No,No,No,No
cucumber/cucumber-jvm,No,No,Yes,No,Yes,.toolchains.xml,No,No,No,No,No,No,No,No
cucumber/cucumber-jvm,No,No,Yes,No,Yes,build.yml,Yes,No,No,Yes,No,No,Yes,No
brianfrankcooper/YCSB,No,No,Yes,Yes,No,.travis.yml,No,No,No,No,No,No,Yes,Maybe
spring-projects/spring-batch,Yes,No,Yes,No,Yes,maven-central-stage.yml,No,No,No,No,No,No,No,No
eclipse-vertx/vert.x,No,No,Yes,No,Yes,ci.yml,No,No,No,No,No,No,Yes,Maybe
apache/dubbo-admin,Yes,No,No,No,Yes,ci.yml,Yes,No,No,No,No,No,Yes,No
apache/dubbo-admin,Yes,No,No,No,Yes,integration.yml,Yes,No,No,Yes,No,No,Yes,No
weibocom/motan,No,No,Yes,Yes,No,.travis.yml,No,No,No,No,No,No,No,No
dropwizard/metrics,Yes,No,Yes,No,Yes,close_stale.yml,No,No,No,No,No,No,No,No
dropwizard/metrics,Yes,No,Yes,No,Yes,maven.yml,No,No,Yes,No,No,No,Yes,No
dropwizard/metrics,Yes,No,Yes,No,Yes,release.yml,No,No,No,No,No,No,Yes,Maybe
apache/dubbo-spring-boot-project,No,No,Yes,Yes,Yes,.travis.yml,Yes,No,No,No,No,No,Yes,No
apache/dubbo-spring-boot-project,No,No,Yes,Yes,Yes,dubbo-2.yml,Yes,No,No,No,No,No,Yes,No
flowable/flowable-engine,Yes,No,Yes,No,Yes,async-history.yml,No,No,No,No,No,No,Yes,Maybe
flowable/flowable-engine,Yes,No,Yes,No,Yes,db2.yml,No,No,No,No,No,No,Yes,Maybe
flowable/flowable-engine,Yes,No,Yes,No,Yes,flowable5.yml,No,No,No,No,No,No,No,No
flowable/flowable-engine,Yes,No,Yes,No,Yes,java-ea.yml,No,No,No,No,No,No,Yes,Maybe
flowable/flowable-engine,Yes,No,Yes,No,Yes,main.yml,No,No,No,No,No,No,Yes,Maybe
flowable/flowable-engine,Yes,No,Yes,No,Yes,mysql.yml,No,No,No,No,No,No,Yes,Maybe
flowable/flowable-engine,Yes,No,Yes,No,Yes,oracle.yml,No,No,No,No,No,No,Yes,Maybe
flowable/flowable-engine,Yes,No,Yes,No,Yes,postgres.yml,No,No,No,No,No,No,Yes,Maybe
flowable/flowable-engine,Yes,No,Yes,No,Yes,sql-server.yml,No,No,No,No,No,No,Yes,Maybe
flowable/flowable-engine,Yes,No,Yes,No,Yes,windows.yml,No,No,No,No,No,No,Yes,Maybe
apache/incubator-shenyu,Yes,No,Yes,No,Yes,ci.yml,Yes,No,No,No,No,No,Yes,No
apache/incubator-shenyu,Yes,No,Yes,No,Yes,codeql-analysis.yml,No,No,No,No,No,No,No,No
apache/incubator-shenyu,Yes,No,Yes,No,Yes,integrated-test-http.yml,No,No,No,No,No,No,Yes,Maybe
apache/incubator-shenyu,Yes,No,Yes,No,Yes,integrated-test-spring-cloud.yml,No,No,No,No,No,No,Yes,Maybe
nhaarman/ListViewAnimations,No,No,Yes,Yes,No,.travis.yml,No,No,No,No,No,No,No,No
apache/ignite,No,No,Yes,Yes,No,.travis.yml,No,No,No,No,No,No,Yes,Maybe
javaee-samples/javaee7-samples,No,No,Yes,Yes,No,.travis.yml,No,No,No,No,No,No,Yes,Maybe
baomidou/mybatis-plus-samples,No,Yes,No,Yes,No,.travis.yml,Yes,No,No,No,Yes,No,Yes,No
xuhuisheng/lemon,Yes,No,Yes,Yes,No,.travis.yml,No,No,No,No,No,No,Yes,Maybe
knowm/XChange,No,No,Yes,No,Yes,maven.yml,No,No,No,No,No,No,Yes,Maybe
knowm/XChange,No,No,Yes,No,Yes,maven_on_pull_request.yml,No,No,No,No,No,No,Yes,Maybe
NanoHttpd/nanohttpd,Yes,No,Yes,Yes,No,.travis.yml,No,Yes,No,Yes,No,No,Yes,No
rest-assured/rest-assured,No,No,Yes,Yes,Yes,.travis.yml,No,No,No,No,No,No,Yes,Maybe
rest-assured/rest-assured,No,No,Yes,Yes,Yes,ci.yml,No,No,No,No,No,No,Yes,Maybe
wildfirechat/server,No,No,Yes,Yes,No,.travis.yml,No,No,No,No,No,No,No,No
apache/kylin,Yes,No,Yes,Yes,Yes,.travis.yml,Yes,Yes,Yes,Yes,No,No,Yes,No
apache/kylin,Yes,No,Yes,Yes,Yes,maven.yml,No,No,No,No,No,No,Yes,Maybe
debezium/debezium,No,No,Yes,No,Yes,cassandra-workflow.yml,No,No,No,No,No,No,Yes,Maybe
debezium/debezium,No,No,Yes,No,Yes,db2-workflow.yml,No,No,No,No,No,No,Yes,Maybe
debezium/debezium,No,No,Yes,No,Yes,formatting-check.yml,No,No,No,No,No,No,Yes,Maybe
debezium/debezium,No,No,Yes,No,Yes,jdk-outreach-workflow.yml,No,No,No,No,No,No,Yes,Maybe
debezium/debezium,No,No,Yes,No,Yes,mongodb-workflow.yml,No,No,No,No,No,No,Yes,Maybe
debezium/debezium,No,No,Yes,No,Yes,mysql-legacy-workflow.yml,No,No,No,No,No,No,Yes,Maybe
debezium/debezium,No,No,Yes,No,Yes,mysql-workflow.yml,No,No,No,No,No,No,Yes,Maybe
debezium/debezium,No,No,Yes,No,Yes,oracle-workflow.yml,No,No,No,No,No,No,Yes,Maybe
debezium/debezium,No,No,Yes,No,Yes,postgres-workflow.yml,No,No,No,No,No,No,Yes,Maybe
debezium/debezium,No,No,Yes,No,Yes,quarkus-outbox-workflow.yml,No,No,No,No,No,No,Yes,Maybe
